Porsche 911," спортивный автомобиль производства немецкой компании Porsche AG в кузове двухдверное купе или кабриолет на его основе, в разных поколениях производящегося с 1964 года по наши дни."
Porsche 918," гоночный автомобиль немецкой компании Porsche, стал первым автомобилем, разработанным Фердинандом Пихом (англ. Ferdinand Piech), молодым племянником Ферри Порше (англ. Ferry Porsche), и вторым, после 904 GTS, гоночным автомобилем класса «делюкс»."
Porsche 906,"гибридный гиперкар немецкого премиум-автопроизводителя Porsche. Выпуск налажен в двух модификациях: 918 Spyder (стандартный) и 918 Spyder ""Weissach Package"" (облегчённый). Модель построена на платформе гоночного Porsche RS Spyder и на каждые 100 километров тратит, по данным официальных тестов, всего 3,1 литра топлива"
Toyota 4Runner,"впервые появился в далеком 1984 году, как измененная версия пикапа Hilux. Последнее и пятое по счету поколение увидело свет в 2009, однако на данный момент актуален его первый рестайлинг, продемонстрированный уже в 2013 году. Автомобиль остается верен своим корням, это до сих пор классический рамный внедорожник с системой полного привода. Однако он немножко подрос в размерах и оброс кучей опций и вспомогательных систем. Изменения также затронули линейку силовых агрегатов, если раньше на выбор было предложена масса двигателей, то отныне автомобиль оборудуется одним единственным безальтернативным четырехлитровым V6"""
Toyota Alphard,"дебютировал на родном рынке в январе 2015 года. Это уже третье поколение модели. Отличить новинку от предшественника не составит труда. У нее большая хромированная решетка радиатора, состоящая из множества прямоугольных секций. Стоит отметить, что ее очертания очень напоминают фирменный дизайн автомобилей Lexus. В глаза бросаются стильные вытянутые и полностью светодиодные фары головного освещения с элегантными секциями дневных ходовых огней. В общем и целом, автомобиль выглядит достаточно необычно благодаря рельефным формам, большой площади остекления и парящей крыши"
Toyota Auris,"Можно сказать, что Toyota Auris - это Corolla в кузове хэтчбек, выпускающаяся специально для европейского рынка.

Первое поколение автомобиля представили в октябре 2006 года на Парижском автосалоне. В феврале 2007-го Auris официально поступил в продажу и с того момента завоевал у потребителей огромную популярность. Компактный хэтчбек, выпускавшийся как в трех-, так и в пятидверном варианте, оснащался несколькими бензиновыми силовыми агрегатами, объемом от 1,33 до 1,8 литра и тремя турбодизельными двигателями объемом от 1,4 до 2,2 литра. Самым мощным мотором был 2,2-литровый четырехцилиндровый 177-сильный дизель, агрегатировавшийся с шестиступенчатой механической трансмиссией. Он разгонял компактный хэтчбек до 100 км/ч всего за 8,1 секунды и при этом отличался хорошей экономичностью.

Второе поколение автомобиля представлено в августе 2012 года как и ранее - на Парижском автосалоне. Японский хэтчбек немного вырос в длину, но при этом стал ниже, а по ширине остался таким же, как и прежде. Улучшились эргономика, дизайн и отделка салона, но силовые агрегаты претерпели лишь незначительные изменения. Также, как и раньше, доступны четыре бензиновых двигателя (1,33 - 1,8 литра), два дизеля (1,4 и 1,8 л) и гибридная силовая установка с 1,8-литровым бензиновым двигателем. Правда, все это актуально лишь для Европы и стран Океании, т.к. в России Тойота Аурис продается только с двумя бензиновыми двигателями - 1,33-литровым и 1,6-литровым. Новый хэтчбек, как и автомобиль предыдущего поколения, получил пятизвездочный рейтинг безопасности по версии Euro NCAP."
Mitsubishi Lancer Evolution X,"Спортивный седан Mitsubishi Lancer Evolution X дебютировал в 2007 году на Детройтском автосалоне. В этом же году машина поступила в продажу. В основу модели Lancer Evolution X лег концепт-кар Concept-X, представленный на Токийском автосалоне в 2005 году. Авто получило довольно агрессивную внешность, что, впрочем, сочетается с его техническим оснащением. Под капотом автомобиля установлен 2-литровый двигатель мощностью в 295 лошадиных сил. Он позволяет седану разгоняться до 100 км/ч за 5,4 секунды, а максимальная скорость авто составляет 240 км/ч. Силовой агрегат с турбонагнетателем и газораспределительной системой MIVEC имеет множество алюминиевых частей, что снижает его вес и одновременно повышает КПД мотора. В автомобиле нашлось место и для фирменной разработки Mitsubishi – технологии Super All Wheel Control. Эта система полного привода включает в себя четыре подсистемы: активный межосевой дифференциал, динамическую систему стабилизации курсовой устойчивости, активную систему управления разворачивающим моментом и «спортивную» антиблокировочную систему. Все вместе эти элементы позволяют очень четко управлять спортивным автомобилем.

"
Mitsubishi Space Star,"Пятидверный минивэн Mitsubishi Space Star выпускался с 1998 по 2005 год на заводе NedCar, расположенном в Нидерландах. Автомобиль сконструирован на одной платформе с моделями Mitsubishi Carisma, Volvo S40 и Volvo V40. Правда, исходная платформа была несколько укорочена. В 2001 году машина прошла краш-тест по системе EuroNCAP. По итогам проверки автомобиль заработал три звезды за безопасность пассажиров и две звезды за безопасность пешеходов. Минивэн Mitsubishi Space Star оснащался бензиновыми двигателями рабочим объемом 1,3 литра мощностью в 80-84 лошадиные силы,  1,6 литра – 98 лошадиных сил, 1,8 литра – 112 лошадиных сил и 1,8 литровым агрегатом с непосредственным впрыском топлива, развивающим мощность в 121 лошадиную силу. Помимо этого были доступны дизельные моторы. Впервые 101-сильный дизель появился в 2002 году, а в 2003 году линейку дополнил 115-сильный DI-D S. Салон автомобиля характеризовался многофункциональностью и простором и вмещал пять человек. Заднее кресло можно было складывать по частям и перемещать по продольным направляющим. Максимальный объем багажного отделения Mitsubishi Space Star составляет 1370 литров, минимальный – 370 литров."
Mitsubishi Pajero,"Среднеразмерный внедорожник Mitsubishi Pajero впервые предстал перед публикой в 1976 году. За свою историю модель сумела 12 раз прийти первой в ралли ""Дакар"", а также получить признание водителей по всему миру. Актуальная на сегодня версия автомобиля, представленная в 2006 году на Парижском автосалоне, производится в двух вариантах кузова: короткий трехдверный и длинный пятидверный. Примечательно, что даже трехдверная модель имеет увеличенную на 12,5 сантиметров по сравнению с предыдущим поколением колесную базу. Двигатели тоже новые: 250-сильный бензиновый мотор объемом 3,8 литра и 165-сильный дизель объемом 3,2 литра. Агрегаты работают в паре с пятиступенчатой автоматической или механической трансмиссией. Длинные ходы подвески, дорожный просвет в 22,5 сантиметра и короткие свесы позволяют водителю Mitsubishi Pajero перебираться через броды глубиной до 70 сантиметров. Для покупателей из России был разработан специальный дизельный двигатель, надежно работающий на российском топливе в любую погоду. Внешний вид также изменился довольно существенно: капот выполнен из алюминия, появилась хромированная радиаторная решетка, новые фары и бампер."
Kia Cadenza,"Kia Cadenza (у себя на родине, в Южной Корее, носит наименование Kia K7) - полноразмерный седан люкс-класса, пришедший в 2009 году на смену модели Kia Opirus / Amanti. Полноприводный автомобиль построен на фирменной платформе N. Передняя подвеска - типа МакФерсон, задняя - многорычажная. Двигатели – бензиновые, рабочим объемом 2,4 л (201 л. с.), 2,7 л (200 л. с.), 3,0 л (270 л. с.), 3,3 л (294 л. с.) и 3,5 л (286 л. с.). Коробка передач – только автоматическая шестидиапазонная.

Дизайн кузова Kia Cadenza был разработан шеф-дизайнером Kia Петером Шрайером.

Автомобиль богато оснащен. Стандартная комплектация включает кожаный салон, беспроводной интерфейс Bluetooth, навигационную систему, литые диски и др. В крыше автомобиля выполнен огромный люк из двух частей. В темное время суток в корпусах наружных зеркал заднего вида и ручках дверей включаются лампы подсветки порогов. Рулевое колесо оснащено подогревом, центральная консоль выполнена «парящей», имеется светодиодная подсветка панели приборов и внутренних панелей дверей. За дополнительную плату автомобиль можно оснастить системой слежения за разметкой, системой контроля давления воздуха в шинах, парктроником и камерой заднего обзора. Сиденье водителя оснащено подколенным валиком для ног, а также системами обогрева и вентиляции, пассажирское – системой обогрева. Задние сиденья также могут иметь подогрев. В дорогих комплектациях используется кожа Nappa – такая же, как в более дорогих и престижных моделях Mercedes-Benz и BMW. Интерьер Kia Cadenza может быть выполнен в одном из трех цветов – черном, бежевом либо белом.

В России данный автомобиль не продается, однако широко известен в других странах, например, Украине, а в Казахстане даже налажена его сборка. В январе 2013 года было объявлено, что Kia Cadenza будет продаваться в США. Цена базовой версии составит около 35 000 долларов. Данный автомобиль станет новым флагманом Kia на североамериканском континенте, заменив собой модель Optima. Он будет оснащен самым мощным двигателем в гамме – 3,3-литровой V-образной «шестеркой» от Hyundai (серия Lambda) мощностью 294 л. с. Таким образом, в США будут продаваться три люксовых корейских седана: Kia Cadenza, Hyundai Genesis и Hyundai Equus."
